,date,open,close,high,low,volume,dopen,dclose,dhigh,dlow,dvolume,flag
0,2010-01-04,11.759241104125977,11.334270477294922,11.842021942138672,11.48040008544922,4109008.0,0.0224842086120955,0.0216716452720744,0.022642489373114,0.0219510517886218,0.0823912942829034,0.0
1,2010-01-05,11.711316108703612,11.775701522827148,12.203643798828123,11.65467643737793,7215755.0,-9.163479048253376e-05,0.0008440364159315,0.0006914375844922,0.0003332243822728,0.0622945748315718,0.0
2,2010-01-06,12.19057273864746,12.048967361450195,12.71775722503662,12.11650562286377,7596005.000000001,0.0009163606691086,0.000522496823371,0.0009830084631137,0.0008830385955752,0.0076245384898433,0.0
3,2010-01-07,12.408417701721191,11.477210998535156,12.59140682220459,11.855093002319336,5477376.0,0.0004165295661065,-0.0010932244032792,-0.0002415877683212,-0.0004998329264711,-0.0424814420938809,0.0
4,2010-01-08,11.763598442077637,11.435168266296388,11.88994789123535,11.611106872558594,3554932.9999999995,-0.0012329240146148,-8.03876333437259e-05,-0.0013412216653331,-0.0004665126764067,-0.038547641414937,0.0
5,2010-01-11,11.885590553283691,11.544475555419922,12.19928741455078,11.76795482635498,2807138.0,0.0002332545147343,0.0002090005528174,0.0005914713638918,0.0002999004852703,-0.0149943241551936,0.0
6,2010-01-12,11.985799789428713,12.019537925720217,12.54783821105957,11.981443405151367,4261516.0,0.000191604658021,0.0009083410521994,0.0006664451176076,0.0004081999594577,0.0291622907029094,0.0
7,2010-01-13,12.19928741455078,12.170886993408203,12.796180725097656,12.155717849731444,6477221.0,0.0004081981359886,0.0002893863626921,0.0004748422830556,0.0003332207353347,0.0444279501765634,0.0
8,2010-01-14,12.700328826904297,12.158276557922363,12.778753280639648,12.47377109527588,4206405.0,0.00095801417276,-2.4111731330475616e-05,-3.332207353347327e-05,0.0006081324006585,-0.045533001960163,0.0
9,2010-01-15,12.630619049072266,11.83455753326416,12.85282039642334,12.155717849731444,5779599.0,-0.0001332882941339,-0.0006189656303216,0.0001416197242517,-0.0006081324006585,0.0315447158579633,0.0
10,2010-01-18,12.451987266540527,13.02011775970459,13.49328327178955,12.451987266540527,10574886.0,-0.0003415521654526,0.0022668455572474,0.0012245944079659,0.0005664807204762,0.0961521375446291,0.0
11,2010-01-19,13.963827133178713,14.041714668273926,14.843917846679688,13.593490600585938,24583934.0,0.002890707201985,0.0019533401693486,0.0025824752865968,0.002182606757257,0.2809007907483559,0.0
